,create_date,location_name,msg
0,2021/11/23 18:01:31,경기도 연천군,"[연천군청] 11월 23일 코로나19 18시 기준 확진자 발생 24명(군민 11명, 요양시설집단발생 11명, 타시군 2명) 블로그 참조 url.kr/3euxdv"
1,2021/11/23 18:00:19,경기도 안성시,"[안성시청]11.23 18시기준 코로나19 확진자 1명(자발적검사자1)발생. 역학조사,방역조치 완료. anseong.go.kr/corona_index.jsp"
2,2021/11/23 17:58:46,경기도 여주시,"[여주시청]11월 23 확진자 933~937번 5명(관내4,관외1) 발생. 마스크 착용 등 방역수칙을 준수해 주시기 바랍니다. ☞ www.yeoju.go.kr"
3,2021/11/23 17:57:58,경기도 과천시,[과천시청] 11월 23일 17시 기준 신규확진 12명 발생 https://www.gccity.go.kr/corona.jsp 가벼운 의심증상도 무조건 코로나 검사
4,2021/11/23 17:56:39,서울특별시 동작구,"[동작구청]11.13(토)~11.23(화) 노량진수산시장(동작구 노들로674,노량진2동 소재)에 방문하신 분은 가까운 선별진료소에서 진단검사를 받으시기 바랍니다."
5,2021/11/23 17:56:15,전라남도 곡성군,"[곡성군청]11.23.(화)17:40분기준 추가 확진자 7명 발생(확진자접촉, 조사중7). 유증상자 및 타지역 방문자는 증상 관계없이 선별진료소에서 검사바랍니다."
6,2021/11/23 17:54:10,부산광역시 부산진구,"[부산경찰청] 경찰은 부산진구에서 실종된 손난희씨(여, 74세)를 찾습니다 - 157cm, 53kg, 빨간색원피스, 흰색신발 vo.la/EYxRb / ☎182"
7,2021/11/23 17:44:46,경기도 가평군,[가평군청] 11월 23일 코로나19 일일 확진자 1명(450번) 발생. 기본방역수칙 준수 철저 당부.
8,2021/11/23 17:44:21,충청북도 충주시,"[충주시청] 11월 23일 확진자 4명 발생(선행 확진자 접촉3, 조사중1) ▲마스크 착용 ▲손씻기 ▲주기적 소독,환기 ▲백신접종에 적극동참하여 주시기 바랍니다."
9,2021/11/23 17:41:47,전라북도 고창군,[고창군청]11.23(화)17시기준확진자2명(147~8번)발생.11.15(월)~11.22(월)고창읍신바람가요주점이용자는보건소선별진료소(오늘20시까지)검사바랍니다.
10,2021/11/23 17:31:32,경기도 군포시,[군포시청] ▲11월23일 17시 기준 코로나 확진자 35명 발생 ▲11월22일부터 코로나검사는 산본보건지소에서만 가능 pf.kakao.com/_eDSsxb
11,2021/11/23 17:27:35,경기도 평택시,"[평택시]확진자31명(타시민7,해외입국1,평택시민23)발생/코로나19 감염확산 차단을 위해 손씻기, 마스크착용 등 기본방역수칙을 철저히 준수해 주시기 바랍니다."
12,2021/11/23 17:24:40,경기도 김포시,"[김포시청] 11월 23일 17시 기준, 코로나19 확진자 46명 발생/ 세부사항은 김포시 블로그를 참조하시기 바랍니다. vo.la/orbga"
13,2021/11/23 17:04:43,경상남도 김해시,"[김해시청]11.23(화) 확진자 16명(관내 10, 타지역 2, 조사중 4) / 김해시블로그 vo.la/E242P 참고 바랍니다"
14,2021/11/23 17:02:52,전라남도 함평군,[함평군청]11. 19.(금) 17:30~19:05 즐거운헬스타운(함평읍) 방문자는 황소주차장에서 코로나 검사 받으세요.(소독완료)모임과 타지역방문 자제해주세요.
15,2021/11/23 17:01:32,충청북도 증평군,"[증평군청] 11월 23일 17시 기준 확진자 1명 발생(유증상). 인후통 등 유증상 시 즉시 진단검사를 받으시기 바라며, 자세한 사항은 홈페이지를 참조바랍니다."
16,2021/11/23 17:01:15,경기도 광주시,"[광주시청] 11월 23일 17시 기준 확진자 27명 발생. 기침, 발열 등 의심 증상 발현 시 가까운 선별진료소에서 검사받으세요."
17,2021/11/23 17:00:37,경상남도 밀양시,"[밀양시청] 11월23일(화)17시 기준 코로나19 확진자 1명발생(밀양274번, 타지역확진자 접촉) 단계적 일상회복에 따른 기본방역수칙을 준수합시다."
18,2021/11/23 16:59:57,전라남도 함평군,[함평군청]11.18.(목)12:00~13:00 미양기사식당(함평읍) 방문자는 황소주차장에서 코로나 검사받으세요.(소독완료) 타지역방문 의심증상 꼭 검사받으세요.
19,2021/11/23 16:49:09,전라북도 김제시,"[김제시청] 11.23(화) 16시기준 확진자 4명발생 (확진자접촉1, 종교시설관련3명/동선파악중) 유증상시 병원 방문 전 선별진료소에서 검사 받으시기 바랍니다."
20,2021/11/23 16:44:00,경상남도 양산시,"[양산시청]11.23.(화) 16시기준, 코로나19확진자 32명발생(관내중학교 4, 관내초등학교 7, 가족간 2, 관내접촉 3, 관외접촉 1, 감염원불명 15)"
21,2021/11/23 16:34:06,전라북도 김제시,"[김제시청]11.8(월)~11.23(화)금산면 모악7길 14 ""대순진리회 상생 청소년수련원"", 모악7길 48 ""대순진리회"" 방문하신 분은 검사받으시기 바랍니다."
22,2021/11/23 16:30:01,경기도 광명시,"[광명시청] 11월23일 16시기준 확진자46명 발생(확진자접촉25,역학조사중21) 세부내용은 블로그 참조바랍니다. blog.naver.com/gmcityhall"
23,2021/11/23 16:20:21,충청북도 단양군,[단양군청] 11.18.(목) 14:15~14:25분 단양구경시장 내 '티각태각'을 이용하신 분은 가까운 선별진료소에서 코로나 검사 받으시기 바랍니다.
24,2021/11/23 16:12:10,충청남도 당진시,"[당진시청]11/23(화) 16시기준 확진자9명(관내접촉5,조사중4)발생. 총1257명 ▲유증상 시 만남,모임 자제 및 코로나19검사 바랍니다."
25,2021/11/23 16:09:37,경상북도 군위군,"[군위군청] 11.20.(토) 이후 확진자 12명 발생. 발열, 기침, 콧물 등 증상 발현 즉시 선별진료소에 방문하여 검사 받으시기 바랍니다."
26,2021/11/23 16:06:24,경기도 안산시,"[안산시청]11월23일 15시기준 확진자 59명발생▲발열, 기침, 호흡곤란 등 의심증상 발현 시 가까운 선별진료소에서 즉시 검사 바랍니다 asq.kr/y4iV1T"
27,2021/11/23 16:02:34,경기도 오산시,"[오산시청] 11월 23일 16시 기준 확진자 9명(오산8, 타지역1) 발생. 자세한 내용은 pf.kakao.com/_ubxjxdxb 를 참조하시기 바랍니다."
28,2021/11/23 16:00:59,강원도 인제군,"[인제군청] 11m/s 내외의 강한 바람의 영향 ▲ 외출 자제, 구조물 결박, 물건/간판 날림으로 인한 2차 피해 등 강풍 피해 및 안전에 유의 바랍니다."
29,2021/11/23 15:49:55,경기도 의왕시,"[의왕시청] ▲11월23일 15시 기준 코로나19 확진자 11명 발생 pf.kakao.com/_xdPSRK ▲자율방역 실천!(마스크착용,손씻기,환기,진단검사 등)"
30,2021/11/23 15:30:48,경상북도 봉화군,[봉화군청]타지역 코로나19 확진자 관련▲11.17.(수) 04시~19시 낙원장목욕탕(봉화읍 내성천2길 65) 여탕 이용객은 선별진료소에서 검사 바랍니다.
31,2021/11/23 15:19:29,경상남도 진주시,[진주시청] 23일 15시 기준 확진자 1명(타지역 확진자 접촉자) 발생. 상세 현황은 시 누리집 참조 바랍니다.
32,2021/11/23 15:15:23,충청남도 공주시,"[공주시청] 11월 23일 15시 기준. 확진자 6명 발생. 공주335~340번(타지역접촉3, 조사중3). 적극적인 예방접종 참여와 개인방역수칙 준수 바랍니다."
33,2021/11/23 15:10:21,충청남도 보령시,[보령시청]11.23.(화) 15:10기준 보령시 신규확진자 1명 발생(역학조사중) 자세한사항은 vo.la/onM84 참고하시기 바랍니다. / 김장모임 등 자제
34,2021/11/23 14:50:31,경기도 고양시,"[고양시청] 11.22.(월) 일일 확진자 85명(덕양구38,일산동구22,일산서구19,타지역거주6)▶타지역확진 고양시민 3명 vo.la/iBARC 참조바랍니다."
35,2021/11/23 14:48:17,경기도 화성시,"[경기남부경찰청] 화성시에서 실종된 당현정씨(여, 37세)를 찾습니다 - 150cm, 55kg, 분홍꽃무늬점퍼,검정바지,갈색가방 vo.la/YCtsU / ☎182"
36,2021/11/23 14:40:33,전라남도 영광군,"[영광군청] 11.23.(화)14시 기준 확진자 2명(영광51, 52번) 발생. 전원 자가격리중 확진, 동선없음▲타지역 방문·접촉자는 선제적 진단검사 바랍니다."
37,2021/11/23 14:38:19,경상북도 영덕군,"[영덕군청]▲선별진료소 운영▲영덕군민회관 11/23(화)15:30분까지▲11/24(수)13:30분~15:30분 영해초교 강당▲상시운영2개소(군보건소,영덕아산병원)"
38,2021/11/23 14:38:05,경상북도 영덕군,"[영덕군청]▲사설교육시설 통한 영덕군 학생 학부모 중심 확진자 발생▲이상증상 있을시 검사를 받시고, 특히 영덕/영해면민 이상유무관련없이 진단검사 받기 바랍니다."
39,2021/11/23 14:34:06,경기도 안양시,[안양시청]▲11.23.(화) 13:00기준 신규확진자 60명 url.kr/v18kie ▲발열·권태감·기침·호흡곤란 등 의심증상이 있을 때 즉시 검사바랍니다.
40,2021/11/23 14:29:44,경기도 시흥시,"[시흥시청] 11월 23일 14시 기준 60명 발생(관내 52, 관외 8), blog.naver.com/siheungblog/222576421879"
41,2021/11/23 14:27:35,충청북도 진천군,"[진천군청]▲11.22 코로나 확진자 2명(내국인2)▲11.23 코로나 확진자 2명(내국인1, 외국인1)▲손씻기, 마스크착용 등 방역수칙 준수 바랍니다."
42,2021/11/23 14:13:01,경상북도 칠곡군,"[칠곡군청]11.14.(일)~11.21.(일) 언콴타이레스토랑(석적읍 북중리12길 7-1,덕산상가201호)방문자는 선별진료소에서 코로나19검사 받으시기 바랍니다."
43,2021/11/23 14:10:46,경상남도 함양군,[함양군청] 11월 17일(수) 17:50~20:10 노다지국밥일번지(함양읍 용평3길 1) 방문자는 선별진료소에서 검사 받으시기 바랍니다
44,2021/11/23 14:05:25,전라남도 장성군,"[장성군청] 11.23.(화) 14시기준 확진자 1명 발생(타지역 방문, 동선파악 완료). 김장철 가족 및 지인모임을 자제하시고 경미한 감기증상도 검사 바랍니다."
45,2021/11/23 14:05:25,충청남도 계룡시,"[계룡시청] 11월 23일 14시 기준, 확진자 1명 발생(계룡107번). 코로나19 의심 될 경우 보건소 선별진료소에서 PCR검사 받으시기 바랍니다."
46,2021/11/23 14:03:31,경상남도 통영시,[통영시청]11. 23.(화) 확진자 1명(273번)발생 / 격리중 ▲사적모임 및 타지역 방문 자제 ▲단계적 일상회복을 위한 백신접종에 동참하여 주시기 바랍니다.
47,2021/11/23 14:01:38,경상남도 사천시,"[사천시청] 11.23.(화) 14시 기준 확진자 3명(격리중 2, 타지역접촉 1)발생 ▲의심증상시 즉시 진단검사 바랍니다."
48,2021/11/23 13:59:09,전라남도 강진군,[강진군청]타지역확진 동선② 11.21.(일) 12:50~13:21 설성식당(병영면) 이용자는 거주지보건소에서 검사바랍니다. ▶타지역방문 시 접종 관계없이 검사
49,2021/11/23 13:58:54,전라남도 강진군,[강진군청]타지역확진 동선① 11.17(수)12:00~12:40귀빈횟집(마량) 19:00~20:30해송해물칼국수(마량) 20:30~22:30산수화가요주점(마량)
50,2021/11/23 13:53:45,"강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시","[중대본] 요양시설 입소자, 60세 이상 등은 코로나19 추가접종 시기가 도래한 경우 늦지 않게 접종에 참여토록 가족들의 협조를 부탁드립니다(☎120,1339)"
51,2021/11/23 13:47:52,경상북도 문경시,[문경시청]문경시 96번 확진자 1명 발생(자가격리중 확진). 이동동선 및 자세한 내용은 문경시청 홈페이지를 참고바랍니다.(http://url.kr/g3jnv6)
52,2021/11/23 13:43:15,전라남도 해남군,[해남군청] 관내 확진자 2명 추가발생 ▶ 11. 22.(월) 08:00~10:00 보석사우나(해남읍) 남탕·여탕 ▶ 동 시간대 방문자는 보건소에서 검사 바랍니다
53,2021/11/23 13:37:18,대구광역시 전체,"[대구광역시] 향촌사우나(중구 경상감영길117-7, 3층) 11/10~21 남탕, 여탕, 헬스장 이용하신 분은 임시선별검사소 및 보건소(예약)에서 검사받으십시오."
54,2021/11/23 13:27:20,전라북도 정읍시,"[정읍시청] 한솥밥뚝배기(상동,소독완료) 11.22.(월) 13:15~13:40 방문자는 보건소 선별진료소에서 검사바랍니다."
